2017-18;-;-;Regular Season;$tournament
12/1;4:30 PM;Brockton;[WW] Brockton;Last year, the Redhawk varsity girls basketball team defeated the Brockton Warriors 82-12. It was far from a close game, but was closer than this year's. This time around, The Redhawks totally annihilated the Brockton Lady Warriors <strong>102-0</strong>.<br/><br/>The stats and scores were not reported online for either game.<br/>The girls' game was a total blowout. Despite the lack of stats, it's safe to assume that everyone on the team scored, and most scored multiple times.<br/>$scoreboardButton [First half only]<br/><br/><br/><hr/><br/><br/><br/>For the boys' game, the unstoppable post duo of Nick Eylander and Sean Robinson, combined with good offensive strategy, proved to be more than Brockton could handle. Nick and Sean together scored the majority of our team's points, and Walker Ator and Colt Miller scored a fair amount of points, too. The score was about 46-32.<br/>
12/2;2:30 PM;LAKE;[LLL] Poplar;The Redhawk Varsity girls team started this game off badly, digging themselves a deep hole. After playing Brockton, they were woefully unprepared. Nevertheless, they brought the lead down and built one of their own. As the game went on, the Redhawk lead stayed at around 5-10 points. However, Poplar came back and won the game with 5 points in the final 10 seconds.<br/><br/>12-18, 24-11, 11-17, 7-10, 54-56 final<br/><br/>Sidney Labatte: 4 points<br/>Sydney Dethman: 7 points<br/>Tawnee Robertson: 15 points<br/>Morgan Mason: 9 points<br/>Mackenzie Dethman: 19 points<br/><br/>$scoreboardButton Girls Varsity<br/><br/><br/><hr/><br/><br/><br/>The Redhawk Varsity boys team started this game off very badly, with a 4-20 deficit. However, they fought back and brought the lead down to as low as 6 in the 4th quarter. Nevertheless, Poplar won the game by 12 points after a string of turnovers by the Redhawks.<br/>   Take away the first quarter, and the Redhawks would have won.<br/><br/>8-24, 19-10, 9-13, 22-23, 58-70 final.<br/><br/>Jordan Trupe: 4 points<br/>Colt Miller: 16 points<br/>Nick Eylander: 5 points<br/>Walker Ator: 6 points<br/>Sean Robinson: 22 points<br/>Chance Parsons 5 points<br/><br/>Live scores and stats will be available for games after winter break, starting with Bainville on Jan. 6
12/8;4:30 PM;LAKE;[LWL] MonDak;The Redhawk varsity girls team blew MonDak away with surprising ease, with plenty of easy layups for Mackenzie Dethman, Sydney Labatte, Sydney Dethman, and others. The score started out as a 20-3 blowout, and definitely didn't get any closer.<br/>20-3, 16-5, 14-14, ??-??, ??-?? final<br/><br/>Per-player stats not available.<br/><br/>$scoreboardButton Girls Varsity<br/><br/><br/><hr/><br/><br/><br/>The Redhawk Varsity boys game was a close one, with the lead flip-flopping many times. Mondak ultimately won the game by 4 points, however, due to Redhawk turnovers. The Redhawks had 7 turnovers in the first quarter alone.<br/><br/>The final score was 48-52.<br/><br/>Per-player stats not available.<br/><br/>
12/9;4:30 PM;LAKE;[LWL] Scobey;The Redhawk varsity girls team played a close game with Scobey, but ended up prevailing in the end. Turnovers occurred, especialy at the beginning, shots were missed, and calls did not go our way. The Redhawks fought through it, however, and ended up winning the game.<br/>11-9, 13-17, 16-0, ??-??, ??-?? final<br/><br/>Per-player stats not available from 406mtsports.<br/><br/>$scoreboardButton Girls Varsity<br/><br/><br/><hr/><br/><br/><br/>The Redhawk Varsity boys game was close until the half, but then Scobey picked off a bunch of passes and built a huge lead. Sean injured his MCL (Knee) in the first quarter as a result of a cheap foul, and was out for the rest of the game. I hope that he is able to play next weekend, when we play Plentywood and Culbertson, but it won't be the absolute end of the world if he cannot play.<br/><br/>14-11, 18-14, 19-12, 22-4, 73-41 final<br/><br/>Isaac Johnson: 4 points<br/>Jordan Trupe: 11 points<br/>Colt Miller: 9 points<br/>Nick Eylander: 10 points<br/>Walker Ator: 1 point<br/>Sean Robinson: 2 points<br/>Chance Parsons: 4 points <br/><br/>Live scores and stats will be available for all home and maybe Froid games after winter break, starting with Bainville on Jan. 6. They may be available earlier. As of this writing, all that is left for the Java scoreboard is internet connectivity.
12/15;4:30 PM;FROID;[WWL] Frazer;The Varsity girls game between the Redhawks and the Bearcubs was expected, by many, to be a good, competitive game. One of Frazer's athletes, Mya four star, even had cameras pointed her way, as she had been scoring over 40 points per game. Nevertheless, the Redhawk defense was overwhelming, and the Bearcubs were bested by a very wide margin, with a 40 point Redhawk lead going into the 4th quarter.<br/><br/>Per-player stats not available from 406mtsports for either this game or the boys game.<br/><br/>$scoreboardButton Girls Varsity<br/><br/><br/><hr/><br/><br/><br/>The Redhawk Varsity boys game was close at first, with Frazer posessing a slim 3-point lead at halftime. After halftime, however, Frazer rapidly extended the lead to 12 points as a result of Redhawk turnovers, missed shots, and bad rebounding. However, the Redhawks did not give up, and brought the score within 3 points in the 4th quarter. Right after that, the Redhawks suffered another slew of turnovers and the game slipped away. Frazer ended up winning the game by 9 points.<br/>  Frazer's crowd was the worst that I have probably ever seen, with loud booing after nearly every call that didn't go their way and screaming during nearly every one of our free throws. The Redhawks missed more free throws than they made this game.<br/>  I hope that Sean Robinson's knee gets better. Our team missed him.<br/><br/><br/>No per-quarter scores available.<br/>No per-player stats available.
12/21;4:30 PM;Plentywood;[WLL] Plentywood;The Varsity girls team lost to the Plentywood wildcats by a score of 29-41. The Redhawks had quite a few offensive hiccups this game and struggled to score the ball, especially during the first half. During the second half, the Redhawk offense heated up, but Plentywood's heated up more.<br/><br/>6-4, 4-5, 7-13, 12-19, 29-41 final<br/><br/>Tawnee Robertson: 2 points<br/>Morgan Mason: 11 points<br/>Mackenzie Dethman: 16 points<br/><br/>Live Scores are not available.<br/><br/><br/><hr/><br/><br/><br/>The Varsity Boys team lost to Plentywood in a first-half debacle of turnovers and missed opportunities. Many of the turnovers resulted in fast breaks and easy layups for Plentywood, leading to a halftime deficit that the Redhawks never recovered from. The Plentywood offense was also on fire, and was hitting jump shots all game.<br/><br/>6-21, 12-20, 13-10, 13-18, 44-69 final<br/><br/>
12/22;4:30 PM;LAKE;[WWL] Culbertson;The Redhawk varsity girls team fixed their offensive hiccups and blew past the Culbertson Cowgirls with a final score of 61-37. They were much better offensively than during the previous night's game and outscored Culbertson all 4 quarters.<br/><br/>13-6, 11-6, 17-13, 20-12, 61-37 final<br/>Sydney Labatte: 6 points <br/>Sydney Dethman: 18 points<br/>Tawnee Robertson: 6 points<br/>Morgan Mason: 10 points<br/>Mackenzie Dethman: 17 points<br/>Haley Labatte: 17 points<br/>Kinsey Rasumussen: 4 points<br/><br/>$scoreboardButton Girls Varsity [First Three Quarters]<br/><br/><br/><hr/><br/><br/><br/>The Redhawk Varsity boys game was just as bad as the previous night's game, turnover wise. Worse, most of the turnovers occurred away from the basket, giving Culbertson easy layup after easy layup. The Redhawks' free throw shooting was fairly good, with 21 of 28 free throws made.<br/>8-11, 7-17, 13-11, 15-20, 43-59 final<br/><br/>Isaac Johnson: 3 points<br/>Jordan Trupe: 11 points<br/>Colt Miller: 11 points<br/>Nick Eylander: 4 points<br/>Ayden Hobbs: 7 points <br/>Walker Ator: 7 points<br/><br/>These scores are the correct ones, straight from the book. 406mtsports has it wrong.
1/6;3:00 PM;Bainville;[LWL] Bainville;The Redhawk JV Boys lost 36-59. They didn't have too many scoring issues, but defense is what killed them, especially fast breaks.<br/><br/>Live scores by the RHSBoard live scoring system:<br/><br/>13-20, 4-13, 9-10, 10-16, 36-59 final<br/><br/>Connor Huft: 12 points<br/>Ashdyn Hobbs: 1 point<br/>Javonne Nesbit: 14 points<br/>Tyler Hove: 4 points<br/>Bode Miller: 5 points<br/><br/>$scoreboardButton="Boys JV"<br/><br/><br/><hr/><br/><br/><br/>The Girls Varsity team nebulized their opponent, as usual.<br/><br/>11-1, 10-5, 16-11, 8-3, 45-20 final<br/><br/>Sydney Labatte: 6 points<br/>Sydney Dethman: 6 points<br/>Tawnee Robertson: 14 points<br/>Meg Ator: 1 point<br/>Morgan Mason: 2 points<br/>Mackenzie Dethman: 9 points<br/>Haley Labatte: 7 points<br/><br/>$scoreboardButton  First Half<br/><br/><hr/><br/><br/><br/>The Redhawk Boys Varsity basketball team played great defense against Bainville but struggled to score the ball after the first quarter.<br/><br/>12-6, 0-11, 8-10, 10-13, 30-40 final<br/><br/>Jordan Trupe: 4 points<br/>Ayden Hobbs: 3 points<br/>Colt Miller: 8 points<br/>Nick Eylander: 12 points<br/>Walker Ator: 3 points<br/><br/><br/>
1/12;3:00 PM;Fairview;[LWL] Fairview;The Redhawk Boys Varsity team struggled to score against Fairview and had many turnovers.<br/><br/>5-19, 5-7, 8-14, 9-12, 27-52 final<br/><br/>Isaac Johnson: 3 points<br/>Jordan Trupe: 5 points<br/>Ayden Hobbs: 8 points<br/>Colt Miller: 4 points<br/>Nick Eylander: 2 points<br/>Jade Waters: 5 points<br/><br/><br/><hr/><br/><br/><br/>The Redhawk Girls Varsity team played a close game against Fairview, at first. At halftime, the score was a close 23-20, with the Redhawks in the lead. Next, in the third quarter, Fairview didn't score a point as the Redhawks rolled along, scoring several fast break layups and cleaning Fairview's clock.<br/><br/>Box scores are not available from the Gazette, but the Redhawks won in a blowout victory.<br/><br/>$scoreboardButton="Girls Varsity" [For the first half]<br/><br/><br/>
1/13;1:00 PM;FROID;[WWL] Richey-Lambert;The Boys JV team defeated the Richey-Lambert JV team by a score of around 40something to 20something. No live graph available.<br/><br/><br/><hr/><br/><br/><br/>The Girls Varsity game was close at the beginning, but then the Redhawks caught fire and whipped Richey-Lambert. At the end of the first quarter, it was only a 6-point game, but it was a 15-point game by halftime. By the end of the game, it was a 53-25 blowout.<br/><br/>Sydney Labatte: 4 points<br/>Sydney Dethman: 14 points<br/>Tawnee Robertson: 12 points<br/>Morgan Mason: 5 points<br/>Mackenzie Dethman: 14 points<br/>Haley Labatte: 4 points<br/><br/>$scoreboardButton="Girls Varsity" [First half only]<br/><br/><br/><hr/><br/><br/><br/>At halftime, the Boys Varsity game did not look at all good for the Redhawks. The Richey-Lambert lead was 20 points, and not much was occurring offensively. However, in the second half, the Redhawks began running a different offense, consisting of a quick screen and pass to the wing on the side. That offense, combined with much improved hustle and on-point shooting, brought the lead down to within 7 points in the 4th quarter. The Redhawks ultimately lost that game.<br/><br/>4-12, 14-22, 6-4, 20-15, 44-53 final<br/>Isaac Johnson: 9 points<br/>Jordan Trupe: 6 points<br/>Ayden Hobbs: 9 points<br/>Colt Miller: 5 points<br/>Nick Eylander: 6 points<br/>Walker Ator: 5 points<br/>Jade Waters: 4 points<br/><br/><br/><br/>For upcoming games, I will be doing live score for the games differently. A camera will be pointed at the scoreboard, and a picture will be sent out every ten seconds. In the future, I might even be able to use OCR to read numbers off of the scoreboard.
1/16;4:30 PM;FROID;[WW] Brockton;This time around, the Redhawk Varsity girls played a minimal amount of defense and let Brockton shoot the ball without closing out much. Still, it was a blowout victory. <a href="http://billingsgazette.com/sports/high-school/basketball/girls/froid-lake-star-appreciates-the-chance-to-play-and-cheer/article_d2940384-4695-54ed-bf18-0e858c6d768d.html">Morgan Mason Even Made the Gazette.</a><br/><br/>Box scores are not available.<br/><br/>$scoreboardButton="Girls Varsity" [First Half]<br/><br/><br/><br/><hr/><br/><br/><br/>For the first few minutes, the boys varsity game was a close one, but that rapidly changed as the Redhawk press began to exhaust Brockton. By the end of the first quarter, the score was 12-21 in Medicine Lake's favor. It could have been much more of a blowout had the Redhawks made their layups consistently.<br/>The second quarter was another win for the Redhawks, as we outscored them 18-11 and finished the half 39-23. Making short shots annd layups were still an issue, however.<br/>By the middle of the third quarter, Brockton's hopes were quickly evaporating. Hard-pressing Froid-Lake scored 19 points, while Brockton only scored 3. By the end of the game, it was a 41-point, 33-74 blowout, the largest margin of victory for the boys' team in at least 4 years.<br/><br/><br/>21-12, 18-11, 19-3, 16-7, 74-33 final<br/><br/>Colt Miller: 21 points<br/>Jordon Trupe: 11 points<br/>Thor Lancaster: 8 points<br/>Jade Waters: 8 points<br/>Nick Eylander: 8 points<br/>Walker Ator: 7 points<br/>Chance Parsons: 6 points<br/>Isaac Johnson: 5 points
1/19;3:00 PM;Frazer;[WWL] Frazer;<br/>The Redhawk Junior Varsity Boys team blew Frazer away by about 30 points. We full-court pressed at the beginning, and Frazer had no answer. Once they got trapped in the corner, they couldn't get out. Frazer's offense was not the best, either.<br/>On the other end of the court, the Redhawks also dominated. The new play that we ran worked great.<br/>No Box scores, live scores, player scores, PCAS scores, or numeric scores are available.<br/><br/><br/><hr/><br/><br/><br/>The Redhawk Girls Varsity beat Frazer despite Four Star's terrific shooting percentage. <br/>No Box scores, live scores, player scores, PCAS scores, or numeric scores are available.<br/>The live scores for the first half are, fortunately, available.<br/><br/><br/>$scoreboardButton="Girls Varsity"<br/><br/><br/><hr/><br/><br/><br/>The Boys Varsity team lost to Fraser by 4 points after being up by 7 points at halftime. Bummer.<br/><br/><br/>The live score camera got bumped and was not properly aligned with the scoreboard. <strike>Auto-align possibly coming in future versions.</strike><strong>Now I use Zip Ties to keep the camera aligned.</strong>
1/26;3:00 PM;LAKE;[WLL] Plentywood [VIDEO];<a target="_blank" href="http://cdn-origin.peg.tv/vod/T02423/Plentywood vs. Froid Lake Girls Hoops 2018.mp4"> Girls Varsity Game Nemont.tv</a><br/><a target="_blank" href="http://cdn-origin.peg.tv/vod/T02423/Plentywood vs. Froid Lake Boys Hoops 2018.mp4"> Boys Varsity Game Nemont.tv</a><br/><br/>The Boys Junior Varsity won by a single point.<br/><br/><br/><hr/><br/><br/><br/>The Varsity Girls, unfortunately, fared differently. Choking during the second quarter, they only scored three points to Plentywood's twelve and dug themselves into a 9-point hole by halftime. The Redhawks rallied after halftime and scored 18 points in the third quarter, gaining a three-point lead. In the fourth quarter, Plentywood's 8-5 scoring run left the game tied up, and the game went into overtime.<br/><br/>As the overtime drew to a close, the Redhawks held onto a 3-point lead with a little over a minute remaining. They turned the ball over, and Plentywood took off down the court and the shooter was fouled. Their shooter made both free throws, bringing the Redhawk lead down to one point. Plentywood scored again, and the clock ran out before any more points were scored. Plentywood ultimately won 39-38.<br/><br/>9-9, 3-12, 18-6, 5-8, 3-4, 38-39 final<br/><br/>Sydney Labatte: 6 points<br/>Sydney Dethman: 6 points<br/>Tawnee Robertson: 5 points<br/>Morgan Mason: 8 points<br/>Mackenzie Dethman: 13 points<br/><br/>$scoreboardButton="Girls Varsity"  [First Half]<br/><br/><br/><hr/><br/><br/><br/>The Redhawk Varsity Boys team had their usual scoring issues against Plentywood and struggled to make shots from anywhere, inside or out. The final score of 45-67 was practically the same as the last time that we played them, which was 44-69.<br/><br/>10-18, 6-15, 17-24, 12-10, 45-67 final<br/><br/>Colt Miller: 12 points<br/>Walker Ator: 10 points<br/>Jade Waters: 6 points<br/>Jordan Trupe: 4 points<br/>Chance Parsons: 4 points<br/>Javonne Nesbit: 3 points<br/>Nick Eylander: 3 points<br/>Thor Lancaster: 2 points<br/>Ayden Hobbs: 1 point<br/><br/><br/><br/>
1/27;3:00 PM;Culbertson;[WWL] Culbertson;The Boys JV team defeated Culbertson 45-40. This was a close game, unlike last time when we blew them away by quite a large margin.<br/>$scoreboardButton="Boys JV"<br/><br/><br/><hr/><br/><br/><br/>The Redhawk Varsity girls team defeated Culbertson, blowing them away in a 51-24 more-than-double victory.<br/><br/>13-3, 17-8, 10-6, 11-7, 51-24 final<br/>Per-player stats not available<br/><br/>$scoreboardButton="Girls Varsity" [First Half]<br/><br/><br/><hr/><br/><br/><br/>The Redhawk Boys Varsity team lost to Culbertson by 20 points. It was only a eight-point deficit at halftime, but Culbertson had quite a few fast breaks.<br/><br/>9-16, 15-16, 4-11, 14-19, 42-62 final<br/><br/>Isaac Johnson: 7 points<br/>Javonne Nesbit: 9 points<br/>Jordan Trupe: 7 points<br/>Ayden Hobbs: 4 points<br/>Colt Miller: 5 points<br/>Nick Eylander: 5 points<br/>Walker Ator: 5 points<br/><br/><br/><br/>
2/2;3:00 PM;FROID;[LWW] Bainville;<br/>The Redhawk Junior Varsity boys team lost to Bainville by less than 10 points despite an early lead. No scores available.<br/><br/><br/><hr/><br/><br/><br/>Despite some early struggles, the Redhawk girls varsity team held on down the stretch and defeated Bainville. The score was 23-14 at halftime, but the Redhawk lead only increasd by a single point in the second half.<br/><br/>$scoreboardButton="Girls Varsity" [First Half]<br/><br/><br/>6-6, 17-8, 14-13, 13-13, 50-40 final<br/><br/>Sydney Labatte: 8 points<br/>Sydney Dethman: 8 points<br/>Tawnee Robertson: 8 points<br/>Morgan Mason: 10 points<br/>Mackenzie Dethman: 16 points<br/><br/><br/><hr/><br/><br/><br/>The Redhawk Boys Varsity also defeated Bainville after struggling in the third quarter, losing their lead, and then getting it back and holding on for the victory.<br/><br/>15-7, 10-11, 14-21, 21-14, 60-53 final<br/><br/>Isaac Johnson: 5 points<br/>Javonne Nesbit: 13 points<br/>Jordan Trupe: 4 points<br/>Ayden Hobbs: 5 points<br/>Colt Miller: 5 points<br/>Nick Eylander: 17 points<br/>Walker Ator: 11 points<br/>
